"received_at","sender","subject","audit_bucket","gmail_label","inferred_area","identity_assessment","confidence","reason","useful","recommended_action","gmail_url"
"2026-08-14T13:30:58+00:00","Notion Team team@mail.notion.so","메모를 단순한 문서 이상으로 활용해 보세요","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/1a0007801cc41bdd"
"2026-08-13T05:49:21+00:00","Academia Mentions premium@academia-mail.com","Paniz Hosseini cited your paper","Needs Review","Academic Signals/Needs Review","Broad computer science/engineering, identity unverified","Name-only or initials-only match","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19ff9ab03123056b"
"2026-08-12T21:30:57+00:00","Netflix House hello@netflixhouse.com","Don’t miss Face the Dark’s last days in Dallas!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19ff7e2b5e3af921"
"2026-08-12T07:37:22-06:00","Routledge Books routledgebooks@email.routledge.com","Back to College savings: Get an Extra 10% Off eBooks","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19ff63719fed0413"
"2026-08-12T07:39:36-06:00","Routledge Books routledgebooks@email.routledge.com","The Back to College Sale is still on!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19ff63345886a697"
"2026-08-12T07:35:16-06:00","Routledge Books routledgebooks@email.routledge.com","Back to College Savings! Up to 25% Off 📖","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19ff62f3c2c3b8cf"
"2026-08-12T07:20:47-06:00","Routledge Books routledgebooks@email.routledge.com","Back to College Sale: Amazing savings are waiting for you!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19ff621f5d882b7d"
"2026-08-12T05:09:03+00:00","Academia Mentions premium@academia-mail.com","Paniz Hosseini cited your paper","Needs Review","Academic Signals/Needs Review","Off-profile physical/energy sciences","Likely namesake, but not provable from the email","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19ff45fc0ec56adb"
"2026-08-11T14:31:17+00:00","Notion Team team@mail.notion.so","나 대신 AI 노트가 작성해 주는 회의 메모","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19ff13c3935c45fd"
"2026-08-10T13:31:21+00:00","Notion Team team@mail.notion.so","회의에 사용할 수 있는 새로운 초능력","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19febdef13bade4b"
