sender,subject,date,inferred research area,closest area from profile.md,classification,short reason,useful to me
Academia Mentions premium@academia-mail.com,Paniz Hosseini cited your paper,2026-08-10T03:52:46+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,Paniz Hosseini cited your paper,2026-08-08T02:41:44+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Computer Science papers?,2026-08-07T02:07:18+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Routledge Books routledgebooks@email.routledge.com,This Month's Bestsellers are waiting for you! 📖,2026-08-05T10:03:54-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-08-05T00:50:34+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",Yes
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-08-02T23:36:44+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Engineering papers?,2026-08-01T22:59:01+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Capacitive Sensing papers?,2026-07-30T21:33:11+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Gesture papers?,2026-07-27T19:37:31+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Routledge Books routledgebooks@email.routledge.com,LAST CALL: The Mid-Year Sale is Coming to an End!,2026-07-27T08:04:06-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-07-25T04:39:03+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Gesture Recognition papers?,2026-07-22T02:37:39+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Taylor & Francis"" taylorandfrancis@email.taylorandfrancis.com","""The value of participatory co-design: a case study of upcycling in rural Thailand"" is ready to read",2026-07-21T17:52:29-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Publisher recommendation, survey, or sales campaign; topical overlap is not evidence of research identity.",No
Routledge Books routledgebooks@email.routledge.com,Mid-Year Sale: 20% off Paperback and Hardback and 25% off eBooks!,2026-07-21T11:01:22-06:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-07-20T01:16:45+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Robust Convergence in Federated Learning..."" was cited",2026-07-17T23:59:42+00:00,"Federated, personalized, prototype, and adaptive learning","Core — Adaptation, personalization, and federated/prototype learning",Current research match,"Exact-title or exact-method alert matches the current federated/adaptive learning profile; the platform alert is a discovery cue, not citation proof.",Yes
Academia Mentions premium@academia-mail.com,"Your paper ""A BPRCNN Based Hand Motion..."" was cited",2026-07-16T23:19:06+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",Yes
